Year,Month,Scen,Inflow,Month-Year
2035,12,HadGEM2-ES,0.882619432,2035-12
2035,12,MIROC5,1.599061044,2035-12
2035,2,CanESM2,1.184831774,2035-2
2035,2,CNRM-CM5,8.782813532,2035-2
2035,2,HadGEM2-ES,1.218275855,2035-2
2035,2,MIROC5,0.649048623,2035-2
2035,3,CanESM2,6.303530699,2035-3
2035,3,CNRM-CM5,4.74602735,2035-3
2035,3,HadGEM2-ES,3.198337367,2035-3
2035,3,MIROC5,1.476212107,2035-3
2035,4,CanESM2,10.25179762,2035-4
2035,4,CNRM-CM5,10.29205982,2035-4
2035,4,HadGEM2-ES,3.716761863,2035-4
2035,4,MIROC5,2.236160049,2035-4
2035,5,CanESM2,10.53680713,2035-5
2035,5,CNRM-CM5,18.96700441,2035-5
2035,5,HadGEM2-ES,9.437672248,2035-5
2035,5,MIROC5,4.73286848,2035-5
2035,6,CanESM2,4.633938537,2035-6
2035,6,CNRM-CM5,11.27243893,2035-6
2035,6,HadGEM2-ES,11.90966873,2035-6
2035,6,MIROC5,1.302541253,2035-6
